,C=0.01,C=0.02,C=0.03,C=0.1,C=0.2,C=0.3,C=1,C=2,C=3
13.3,0,0,0,0,0,0,2,9,20
13.4,0,0,0,0,0,0,1,9,18
13.5,0,0,0,0,0,0,1,9,18
13.600000000000001,0,0,0,0,0,0,1,9,17
13.700000000000001,0,0,0,0,0,0,1,9,15
13.8,0,0,0,0,0,0,1,9,14
13.9,0,0,0,0,0,0,1,9,14
14.0,0,0,0,0,0,0,1,9,14
14.100000000000001,0,0,0,0,0,0,1,9,13
14.200000000000001,0,0,0,0,0,0,1,8,13
14.3,0,0,0,0,0,0,1,8,12
14.4,0,0,0,0,0,0,1,6,10
14.5,0,0,0,0,0,0,1,6,10
14.600000000000001,0,0,0,0,0,0,1,6,9
14.700000000000001,0,0,0,0,0,0,1,6,9
14.8,0,0,0,0,0,0,1,6,8
14.9,0,0,0,0,0,0,1,5,8
15.0,0,0,0,0,0,0,1,5,8
15.100000000000001,0,0,0,0,0,0,1,4,8
15.200000000000001,0,0,0,0,0,0,1,4,8
15.3,0,0,0,0,0,0,1,4,8
15.4,0,0,0,0,0,0,1,3,8
15.5,0,0,0,0,0,0,1,2,8
15.600000000000001,0,0,0,0,0,0,1,2,8
15.700000000000001,0,0,0,0,0,0,1,2,7
15.8,0,0,0,0,0,0,1,2,6
15.9,0,0,0,0,0,0,1,1,6
16.0,0,0,0,0,0,0,1,1,5
16.1,0,0,0,0,0,0,1,1,4
16.2,0,0,0,0,0,0,1,1,4
16.3,0,0,0,0,0,0,1,1,4
16.400000000000002,0,0,0,0,0,0,1,1,4
16.5,0,0,0,0,0,0,0,1,4
16.6,0,0,0,0,0,0,0,1,4
16.7,0,0,0,0,0,0,0,1,4
16.8,0,0,0,0,0,0,0,1,4
16.900000000000002,0,0,0,0,0,0,0,1,4
17.0,0,0,0,0,0,0,0,1,3
17.1,0,0,0,0,0,0,0,1,3
17.2,0,0,0,0,0,0,0,1,3
17.3,0,0,0,0,0,0,0,1,3
17.400000000000002,0,0,0,0,0,0,0,1,3
17.5,0,0,0,0,0,0,0,1,3
17.6,0,0,0,0,0,0,0,1,3
17.7,0,0,0,0,0,0,0,1,3
17.8,0,0,0,0,0,0,0,1,3
17.900000000000002,0,0,0,0,0,0,0,1,3
18.0,0,0,0,0,0,0,0,1,3
18.1,0,0,0,0,0,0,0,1,3
18.2,0,0,0,0,0,0,0,1,3
18.3,0,0,0,0,0,0,0,1,3
18.400000000000002,0,0,0,0,0,0,0,1,2
18.5,0,0,0,0,0,0,0,1,2
18.6,0,0,0,0,0,0,0,1,2
18.7,0,0,0,0,0,0,0,1,1
18.8,0,0,0,0,0,0,0,1,1
18.900000000000002,0,0,0,0,0,0,0,1,1
19.0,0,0,0,0,0,0,0,1,1
19.1,0,0,0,0,0,0,0,1,1
19.200000000000003,0,0,0,0,0,0,0,1,1
19.3,0,0,0,0,0,0,0,1,1
19.400000000000002,0,0,0,0,0,0,0,1,1
19.5,0,0,0,0,0,0,0,1,1
19.6,0,0,0,0,0,0,0,1,1
19.700000000000003,0,0,0,0,0,0,0,1,1
19.8,0,0,0,0,0,0,0,1,1
19.900000000000002,0,0,0,0,0,0,0,1,1
20.0,0,0,0,0,0,0,0,1,1
20.1,0,0,0,0,0,0,0,1,1
20.200000000000003,0,0,0,0,0,0,0,1,1
20.3,0,0,0,0,0,0,0,1,1
20.400000000000002,0,0,0,0,0,0,0,1,1
20.5,0,0,0,0,0,0,0,1,1
20.6,0,0,0,0,0,0,0,1,1
20.700000000000003,0,0,0,0,0,0,0,1,1
20.8,0,0,0,0,0,0,0,1,1
20.900000000000002,0,0,0,0,0,0,0,1,1
21.0,0,0,0,0,0,0,0,1,1
21.1,0,0,0,0,0,0,0,1,1
21.200000000000003,0,0,0,0,0,0,0,1,1
21.3,0,0,0,0,0,0,0,1,1
21.400000000000002,0,0,0,0,0,0,0,1,1
21.5,0,0,0,0,0,0,0,1,1
21.6,0,0,0,0,0,0,0,1,1
21.700000000000003,0,0,0,0,0,0,0,1,1
21.8,0,0,0,0,0,0,0,1,1
21.900000000000002,0,0,0,0,0,0,0,1,1
22.0,0,0,0,0,0,0,0,1,1
22.1,0,0,0,0,0,0,0,1,1
22.200000000000003,0,0,0,0,0,0,0,1,1
22.3,0,0,0,0,0,0,0,1,1
22.400000000000002,0,0,0,0,0,0,0,1,1
22.5,0,0,0,0,0,0,0,1,1
22.6,0,0,0,0,0,0,0,0,1
22.700000000000003,0,0,0,0,0,0,0,0,1
22.8,0,0,0,0,0,0,0,0,1
22.900000000000002,0,0,0,0,0,0,0,0,1
23.0,0,0,0,0,0,0,0,0,1
