,"C=2, GMHI2"
0,1.7164383653985258
1,-0.060776964579496454
2,-0.8812190151741597
3,0.5393031367026827
4,1.066975533771591
5,-0.030866128838365578
6,2.331540607742575
7,0.36543600984344426
8,-0.3448532432358311
9,1.2299679298494106
10,0.7357466392316294
11,0.1991115992058206
12,-0.7881162650368345
13,1.2082850790081479
14,0.7917461091230961
15,2.1673727023987563
16,-0.7266834886369646
17,1.6841088865576912
18,-0.15045816927308775
19,0.18678764054171904
20,-0.0006393350980947177
21,1.3290894374230986
22,2.8503238157461404
23,1.505608797647966
24,0.8310178136593331
25,-0.8112745956581329
26,2.1608941016996117
27,1.016271216331658
28,-0.966083605930523
29,0.3415159313675784
30,-0.31055373758830174
31,-1.6740323693584869
32,-0.08168510891815772
33,-1.5930584096592495
34,-2.722952903562588
35,0.6505268127979331
36,0.14756507978736583
37,0.2195413187098529
38,0.08491082759497023
39,-0.030184223186521995
40,-1.0542411818555948
41,-0.32269783643438077
42,-0.4967561764106726
43,0.4274407601822944
44,-0.13808197678355816
45,-0.13424474318618349
46,-0.9146283082936074
47,-2.037790178721842
48,-1.9981614049181604
49,-0.6449908973087607
50,-1.3564460061683907
51,-0.9347368386769314
52,0.2609955219145053
53,-0.5372594295699133
54,-0.030584378452956466
55,-1.8055471376033694
56,-0.5193292558644501
57,-1.6408374855173247
58,0.24122820097790412
59,0.07785766486001083
60,-2.05244823934731
61,-0.4901118275337083
62,0.4125665310928638
63,0.7626709172776387
64,0.7443977427873639
65,-0.2947528831366585
66,-0.09998558963374718
67,-1.7468372336674356
68,-0.5402058869099489
69,-0.4203490134080916
70,-0.07160191012315081
71,-0.4352445109334323
72,-1.329665039214908
73,-1.9328659057076074
74,-0.2920256863480225
75,-0.5192539871888615
76,-0.43808149223722975
77,-2.6027518244765404
78,-0.4421382027304913
79,-0.5238958884332212
80,-1.05744026032483
81,-0.8138787395538691
82,-0.8532927184574095
83,0.020236276463485338
84,-1.2239470598934363
85,-2.7974503360529064
86,-1.0739367497454149
87,-0.06570604023202084
88,0.058578288205572676
89,-0.5291298254722401
90,-1.6410874017645265
91,-0.6310411006097479
92,0.6959419328159319
93,-0.936406346327188
94,0.7311935987608972
95,-0.37900869310347246
96,-0.3089314684058431
97,0.10010932111282037
98,-2.0144057767085086
99,-0.6266079810750416
100,0.037630317227596494
101,-1.413048205600547
102,-1.3008198693229325
103,-1.0234368913813623
104,-1.0540273385048928
105,-0.6337813119939031
106,-0.4517347946054223
107,-1.184180385549889
108,-0.8774748083798313
109,-0.29405597532515915
110,-0.11820411315928497
111,-0.4432529301380012
112,0.2914507836678479
113,-1.1103416858747759
114,0.024076231613941027
115,-0.8823467889557027
116,0.06906201029626824
117,-1.3234844309294551
118,-0.9888567004220972
119,0.27430446117416735
120,-1.1387438244493107
121,-2.411728176242595
122,-0.5221721788806859
123,-0.8125842679110924
124,0.28554900974630526
125,0.0569848479021452
126,0.35361183419703424
127,1.1327796236375358
128,0.39096393616023006
129,0.7258827019608854
130,-0.08181526303171452
131,-0.4409533043446182
132,0.7716017516499035
133,-0.48732411148457844
134,0.3951534004047883
135,0.6562872841784579
136,-1.8057444114776664
137,-1.1049198214699938
138,-1.7252062391829552
139,-2.2033801294736532
140,-0.7279701233226938
141,1.1971880280045715
142,-1.20576812460594
143,-0.39919642572854375
144,-0.15526811051650802
145,-0.5838496083219132
146,-1.020257011691169
147,0.8352849010768528
148,0.044435443630156696
149,0.5012410005607029
150,-0.8992156081303935
151,0.3717896280087577
152,0.10551723241929332
153,0.36240911656726
154,-2.263281551042643
155,-1.5011107153781502
156,1.5997867265731112
157,1.7779229026498702
158,1.734229307410132
159,2.373816990990211
160,1.0800913297329244
161,0.32118775490093066
162,0.6962454707322006
163,2.091530878804603
164,0.8929449324694652
165,0.4675616011945144
166,0.28745490925171246
167,0.22933389200170062
168,0.09663736352343849
169,1.257815958403667
170,1.0555880208757864
171,1.6106620388970367
172,0.21382777635166636
173,1.3000747424427486
174,-0.9223609422024223
175,0.0070957110688931735
176,0.626882781000688
177,0.00858222171753405
178,0.197809170651776
179,0.36089935528514583
180,2.5144143243808506
181,-0.6595579355118698
182,2.605778532535771
183,-0.4754503707336215
184,1.4683784271821074
185,0.6828301770624097
186,0.3279287385256396
187,0.3094739197389851
188,1.7933260800368576
189,0.7761473458162217
190,0.15345564551311636
191,-1.0315807168688538
192,-0.8501245595909174
193,-0.12567589991652112
194,-0.7321246411420776
195,0.33283748166528776
196,-0.3758223128340922
197,-0.1557314703928934
198,-1.0932080001934394
199,0.35884644228963636
200,-0.23144050359856722
201,-2.007555148479146
202,-0.7581172061299555
203,-0.498280150795671
204,1.1364414579503015
205,-2.122464106840732
206,-0.02356345524987337
207,-0.9710796686508062
208,-1.4585051620275107
209,-1.623045815095481
210,1.2835987123991557
211,-0.6793756898079838
212,0.36556522329921715
213,-0.7692494549042654
214,-0.07493162768819968
215,-0.15811420488459568
216,-0.4805972467838195
217,-1.0265462713804325
218,-0.02060446387963126
219,-1.4058891874316746
220,-0.5426985034722912
221,-0.3233980107666828
222,-0.6657255317647834
223,-0.3766549095091822
224,-0.23215859138595976
225,-1.3932098936809643
226,-1.9692119978052387
227,-0.9180378840465672
228,-0.26482118963536605
229,-1.9340811471201118
230,-0.542133726728156
231,-0.10906665620296824
232,-1.3431235352940913
233,-0.8273843571150272
234,-1.2660086984417096
235,-1.7233761935726497
236,-1.6120883921075069
237,-0.5490273969648565
238,-1.4989432229388857
239,0.9064015023537766
240,-0.21331107622110002
241,0.3889898063299126
242,-1.2853917339091085
243,0.21283671131562254
244,-0.9103394198331514
245,-0.22828927302341265
246,-0.10278765555205174
247,0.8407217625680452
248,-2.300443928522019
249,-0.6689215949962617
250,-1.2349908816171067
251,-0.6097238067297729
252,-1.4327654654769726
253,-0.8090991977259655
254,-0.5577488244939598
255,-0.29265921934895167
256,0.05943465131559621
257,-0.9887716220048262
258,-0.18180006913589034
259,-0.8305959380269687
260,0.37336687814234837
261,-0.48775613849618904
262,-0.6421353247285513
263,-0.5242538145061324
264,-0.3595579717343067
265,2.0484736574961024
266,-0.3228690234794821
267,-0.05167077989535357
268,0.3484499998217632
269,1.7771011966912702
270,-0.5601282251761103
271,1.915028072005976
272,0.019572506270838896
273,0.34962985982866124
274,0.9588306800544514
275,1.0606975946442045
276,1.3944870313517015
277,1.0090625275959768
278,1.7158589677845668
279,1.93140004469782
280,1.1673713686291174
281,1.6840432452852658
282,-0.697826887760391
283,0.6974380889594529
284,3.278726603182577
285,-0.8639834880721948
286,1.2456633718786627
287,0.021579834832388706
288,0.6796800572266123
289,0.8347641584346918
290,0.9767279490917297
291,1.8086301691980968
292,2.4361050399669115
293,0.22328900035246316
294,0.9450714596685752
295,-0.22939146606702918
296,0.5831686928443001
297,-0.2924274571636328
298,0.9427647345885157
299,1.93851408921277
300,-0.16175415398308043
301,1.4864142917135754
302,1.4813822451293
303,0.05417115335567593
304,0.7096218646354632
305,0.12508348997629132
306,1.422566100745714
307,1.1077045758790416
308,2.327086338072739
309,1.9214384334817167
310,0.11240772153890019
311,1.3954464653228271
312,0.8967098312037115
313,0.7648415675525676
314,-0.22201756275504012
315,1.3346215177039147
316,0.5654884901702625
317,1.8816761251058542
318,1.0157328021813896
319,-0.3634237696927244
320,0.1845796759867248
321,1.0377818341001201
322,1.184324346353271
323,-0.5178254452362411
324,-0.42618040583773137
325,0.29113871102444383
326,-1.370744742940979
327,2.093825597126765
328,0.5473833657257013
329,0.9574840313585061
330,2.683740975593033
331,-0.36958666137419827
332,-0.447439807047731
333,0.5983187162101523
334,0.7443575601919455
335,1.3842304778774668
336,1.94046449217612
337,1.5710720590818612
338,0.3303372421606653
339,0.8510189618829701
340,0.9344819550941104
341,1.7368742590353357
342,1.7871748835667762
343,0.03594329748966811
344,2.151855998407357
345,1.035300313302506
346,1.6455515249275479
347,-1.1214361742454646
348,2.1439827371934226
349,-1.3800178368447118
350,2.192227093577625
351,1.4641724201279607
352,1.021913676176949
353,0.3347575324336244
354,-0.9343283225991992
355,0.08906803632542336
356,-0.8284756995990032
357,1.1087469426523537
358,1.1491496277982012
359,-1.59173352705007
360,0.10836234814133952
361,1.4840875274065628
362,0.9911153194908793
363,0.6907013970999185
364,1.9355978808138006
365,1.6195365093767518
366,1.9430678529258214
367,1.9753117614822027
368,1.3890920924204218
369,0.9660089551504951
370,2.0961933967097934
371,1.1929424462205314
372,1.926264787485052
373,1.8445321954486924
374,0.7019198420020301
375,1.6187760013709298
376,0.6497118009634493
377,0.8882971332247478
378,-1.5248060576399125
379,0.48894230349334317
380,1.8261668799093314
381,0.05684368128564435
382,0.800641145303666
383,0.7376920687991295
384,1.5206347711485142
385,1.9999823821071343
386,1.3963162127760502
387,0.2966644108987611
388,3.2685796719938764
389,-0.4165860413215996
390,1.4174323699415028
391,2.009196123198008
392,2.4936740702021853
393,0.3750800035355291
394,-0.669411393885339
395,1.318714918285803
396,1.1641782244686543
397,1.1063109639995927
398,1.695081810932429
399,2.0115667939839783
400,1.4060723601500678
401,2.526487983303243
402,2.025181527376187
403,1.269732209281563
404,2.409359424831415
405,1.4015856306262875
406,2.9522669762781604
407,0.5126131928567706
408,0.13635407848177417
409,2.257230013243041
410,0.1923473817366273
411,1.4628453435908255
412,1.676818881310887
413,1.3087238215978703
414,1.5245822855508646
415,1.9841568611839435
416,2.231059309507928
417,0.1577211141967551
418,1.5022784307781896
419,1.7456210728790764
420,1.1390993475248963
421,0.8504286812345501
422,2.1851850323068445
423,1.816420212099503
424,1.5105950024911443
425,2.269627295285456
426,1.5548594331108252
427,2.1415779771281507
428,1.036804669659098
429,1.3392262605354484
430,0.4878107730047643
431,0.8519060113295074
432,2.0994123926858856
433,0.48694132097965437
434,0.2398302822005895
435,2.346576670738135
436,2.4981595973600235
437,2.127595298706828
438,0.045861547479148404
439,0.5057346563980745
440,1.812188965507665
441,1.5969828503491823
442,1.7326290029171942
443,1.7850322858095375
444,1.1447181746306516
445,1.098256491381898
446,0.6722644503514742
447,1.6276955445584087
448,1.597745848986563
449,1.1682754502401123
450,1.4975617690397884
451,1.0850980605441298
452,1.9239491432730758
453,2.0318808335191743
454,1.2338767809618667
455,-0.5185313330583681
456,3.48648020114615
457,0.9827300367459214
458,1.7394194520924862
459,1.9302660773904685
460,0.6463459806877695
461,0.9007817898954368
462,1.8328581097391201
463,1.3026174240305073
464,1.9617334616079276
465,1.5886442850278142
466,2.33488025868241
467,1.8121874093826702
468,0.2613596509575575
469,1.295726364536489
470,1.7676076915234542
471,0.288777004288902
472,1.9531032293992536
473,1.1761334966707544
474,1.802223036558779
475,1.313660862646513
476,1.8860434197091223
477,2.1653068594692515
478,2.4031636522122226
479,0.9071480499656879
480,1.6774073578849409
481,1.353987526273379
482,1.7514967102476728
483,1.4767120903709503
484,1.17713477009245
485,0.7923723572295011
486,2.003696734046078
487,2.067311874683765
488,0.7946263440572888
489,1.55352861917493
490,1.5435386529499628
491,0.7415939307079515
492,1.5777429975770934
493,1.8450404644374787
494,2.149186485090132
495,2.0366097740484244
496,0.3084153820580655
497,0.2925192817360666
498,0.9731673664013047
499,1.345704366014878
500,1.4437237330953898
501,1.7327282561606339
502,1.7460570481736721
503,3.0255109225439036
504,0.6689492346233543
505,-1.0170250527851241
506,0.9492384059126124
507,-1.5105178201597034
508,2.432957713294026
509,0.7302570421312796
510,2.791091082953106
511,2.125683501884122
512,1.2239550770690018
513,2.005382518242377
514,1.0901100882216395
515,2.349795323080587
516,1.0437662118221034
517,-0.3442712266026406
518,0.10350905487624092
519,1.3068574635817984
520,2.4888263562937096
521,1.3933989161552227
522,2.0819076493975475
523,0.4237707980163309
524,0.7980658378905897
525,1.3703094897306385
526,1.8578526748032262
527,1.68448473592951
528,1.898295910847884
529,2.0644592883029267
530,1.5090501434947483
531,0.940966594917156
532,1.7101083081110726
533,1.5047562077040142
534,1.2643159379492022
535,1.650655700827869
536,0.8202192543285138
537,1.963989851914155
538,0.38162294390737483
539,2.4197995780811707
540,2.0534232724415045
541,1.2912531049805411
542,1.1843686867427556
543,2.2781320974251216
544,2.6037600555559033
545,-0.11224770169936639
546,1.217034996082469
547,1.9238405686251676
548,1.5009406274836812
549,0.9472692649616141
550,0.9321159198973241
551,1.6008334148536514
552,1.9245681085938189
553,1.9824609901360748
554,0.8392031507010032
555,2.609064979959652
556,1.3535720810998346
