,C=0.01,C=0.02,C=0.03,C=0.1,C=0.2,C=0.3,C=1,C=2,C=3
0.0,0.7320200116446521,0.7432773314891012,0.7419402880331452,0.7264580127904314,0.7173400049432439,0.7137195511670344,0.6987940278902582,0.6871838542779233,0.6832263925063139
0.1,0.7459288483498565,0.7567572359983354,0.7546607799633482,0.7386423981383239,0.7291814586574021,0.7247629322546283,0.7055418748190676,0.6930059189742726,0.688448604166274
0.2,0.7622455270312102,0.7678450167555095,0.7684640032389287,0.7504383074847958,0.7405716241210202,0.7342542354647463,0.7125609979820217,0.6994669088867999,0.6936830814303048
0.30000000000000004,0.7759202598758044,0.7831349011349011,0.7806277888905986,0.7632441404895638,0.7529274325048974,0.7445609125652446,0.7185034162833159,0.7046683346316648,0.7005463715636564
0.4,0.7899163462094009,0.7956541180936758,0.7928769029272895,0.7768039444545145,0.7617581106499401,0.754482109227872,0.725275447780815,0.7115901334682593,0.7074663355696127
0.5,0.8034599779137146,0.8054282644440426,0.8028323006496307,0.7860540851485647,0.7716751119641715,0.7610494149057518,0.7351102158800151,0.7194255879429108,0.7123458573021719
0.6000000000000001,0.8143676596202669,0.8180012292617442,0.816390517649846,0.7961830665963419,0.7803145073324446,0.7695444116538253,0.743074934314451,0.7250356988806491,0.7172715972426434
0.7000000000000001,0.8288042027484437,0.8302455216847028,0.8264530923053233,0.8074072041737657,0.7919358567894822,0.7797706445516148,0.7491731988558303,0.7308025911286781,0.7206644814601633
0.8,0.8389239497976402,0.8402939112607795,0.8378488991965523,0.8150684438681512,0.8000354429731102,0.7901467861758247,0.7550389015638808,0.7373234090721974,0.7265904382212747
0.9,0.8513205505707419,0.8529842635036151,0.8494860207942981,0.8228797238112902,0.8099974022786638,0.8000764192577532,0.760824633635041,0.742026207844966,0.7328064672725598
1.0,0.8631559614228901,0.8608540722981661,0.8580171670672287,0.8323406935394223,0.8206183562929512,0.8084070308149947,0.7689921394115655,0.7469096880193955,0.739287900944709
1.1,0.871590765992126,0.8696803601716053,0.8682463412232438,0.8458509204105408,0.8301315162323957,0.8139664426925086,0.775733312695698,0.7536950730589571,0.7440033916469933
1.2000000000000002,0.88040831232764,0.8765722774951605,0.8762888672937639,0.8598871626780653,0.8391302844356296,0.8220379463430578,0.7810907381023444,0.7579489936458896,0.7506504260444096
1.3,0.8801893060931121,0.8881500433512411,0.8840985429664675,0.8696453284018959,0.8459751946368281,0.8291391197949036,0.7876417140640453,0.7635132609917876,0.7540183596880762
1.4000000000000001,0.8848352137767221,0.8974081397232879,0.8887142504930966,0.8742670212080846,0.8557825484764543,0.8408443991136444,0.7922361854300467,0.7690738110046269,0.7596764948893606
1.5,0.8764882817395663,0.9017491137540274,0.8998344698956694,0.8835664061734924,0.8648215836885652,0.8486724364721544,0.7982094373990445,0.773748936194196,0.7625627635952831
1.6,0.8609637488947834,0.9064407022316076,0.9064118629908104,0.8877799271057698,0.8721657371421015,0.8568188236781142,0.8039289864303214,0.7761980892961591,0.7647439086618191
1.7000000000000002,0.8558026455916148,0.908363913366218,0.9147053897119035,0.8941032715417295,0.8772461384842367,0.8646166134185302,0.8123092132269467,0.7803305269722483,0.7695670447587717
1.8,0.83,0.9081486249788117,0.9152885052781647,0.9013878804876323,0.8861306437483722,0.8726760940228729,0.8170031211256681,0.7844115435047926,0.7736932162443992
1.9000000000000001,0.7880116959064327,0.9087301587301587,0.920386518243661,0.907416752010977,0.8935844662297567,0.8801409315591284,0.8260617198975356,0.7895891311200995,0.7782370030303214
